AU,first_author,TI,SO,JI,AB,DE,ID,LA,DT,DT2,TC,C1,DI,PA,AR,FU,FX,SN,PN,PP,PU,VL,PY,UT,NR,SC,U2,WC,EM,GA,RP,DB,CR,AU_UN,AU1_UN,AU_UN_NR,SR_FULL,SR,SE,BO,BE,BN,assigned_to
IMRAN M;AHMAD M;NASIR MF;SAEED S,IMRAN M,"EFFECT OF DIFFERENT NEST BOX MATERIALS ON THE MATING OF EUROPEAN BUMBLEBEE, BOMBUS TERRESTRIS (HYMENOPTERA: APIDAE) UNDER CONTROLLED ENVIRONMENTAL CONDITIONS",PAKISTAN JOURNAL OF ZOOLOGY,PAK. J. ZOOL.,"WE EXAMINED THE POSSIBLE EFFECT OF DIFFERENT BOX MATERIALS IN RELATION TO TIME INTERVAL ON THE MATING OF EUROPEAN BUMBLEBEE, BOMBUS TERRESTRIS UNDER CONTROLLED ENVIRONMENTAL CONDITIONS. THE LOWEST RATE OF MATING WAS FOUND IN WOODEN BOX WITH MEAN OF 49\% PAIRS AND THE HIGHEST MATING TENDENCY WAS FOUND IN POLYCARBONATE BOX. FURTHER IN RELATION TO TIME INTERVAL, DURING THE FIRST MINUTES OF INTRODUCTION OF QUEENS AND MALES IN MATING CAGE, SIGNIFICANT DIFFERENCE BETWEEN ALL THREE BOXES SHOWED THE HIGHEST MATING RATE WITHIN FIRST MINUTES IN POLYCARBONATE BOX. SIMILARLY, DURING THE FIVE MINUTES OF TIME INTERVAL FROM INTRODUCTION, MATING TENDENCY WAS HIGH IN POLYCARBONATE BOX WHICH WAS 1-2 FOLD HIGHER FROM IRON MESH BOX AND WOODEN BOX. DURING THE TIME ELAPSE OF FIFTEEN MINUTES OF INTRODUCTION OF QUEENS AND MALES IN THE MATING CAGE, THERE EXISTED NO SIGNIFICANT DIFFERENCE BETWEEN THE POLYCARBONATE BOX AND IRON MESH BOX BUT SIGNIFICANTLY DIFFERENT IN WOODEN BOX. SUCH IMPORTANT ABIOTIC AFFECT OF MATING ENVIRONMENT SUGGESTS THE POSSIBILITIES FOR HIGHER MATING TENDENCY NEEDED FOR THEIR COMMERCIAL BREEDING PROGRAMS.",BOMBUS TERRESTRIS; MATING REQUIREMENT; BOX MATERIAL; TIME INTERVAL,SEX-RATIOS; POLYANDRY; POLLINATION; GLANDS; QUEENS; BEES; AGE,ENGLISH,ARTICLE,ARTICLE,4,"IMRAN, M (REPRINT AUTHOR), ARID AGR UNIV RAWALPINDI, DEPT ENTOMOL, PIR MEHR ALI SHAH, MURREE RD, RAWALPINDI, PAKISTAN.;IMRAN, MUHAMMAD, AHMAD, MUNIR, NASIR, MUHAMMAD FAROOQ, ARID AGR UNIV RAWALPINDI, DEPT ENTOMOL, PIR MEHR ALI SHAH, RAWALPINDI, PAKISTAN.;SAEED, SHAFQAT, BAHAUDDIN ZAKARIYA UNIV, UNIV COLL AGR, FAC PLANT PROTECT, DEPT ENTOMOL, MULTAN, PAKISTAN.",NA,"UNIV PUNJAB, NEW CAMPUS, C/O DEPT ZOOLOGY, LAHORE, PAKISTAN",NA,"HIGHER EDUCATION COMMISSION, GOVERNMENT OF PAKISTANHIGHER EDUCATION COMMISSION OF PAKISTAN","THE PRESENT STUDIES WERE KINDLY FINANCED BY THE HIGHER EDUCATION COMMISSION, GOVERNMENT OF PAKISTAN UNDER BUMBLEBEE LABORATORY REARING PROJECT AND INDIGENOUS FELLOWSHIP FOR THE FIRST AUTHOR FOR HIS PHD STUDIES. WE ARE THANKFUL TO UMER AYYAZ AND MUHAMMAD NASIR FOR THEIR HELP IN REARING OF BUMBLEBEES. WE ARE ALSO THANKFUL TO OUR ANONYMOUS REVIEWERS FOR THEIR KIND INPUTS AND IMPROVEMENT SUGGESTIONS FOR THIS MANUSCRIPT.",0030-9923,1,241-247,ZOOLOGICAL SOC PAKISTAN,47,2015,ISI000350843000032,37,ZOOLOGY,5,ZOOLOGY,IMRANMALIKVIRGOGMAIL.COM,CD1OA,"IMRAN, M (REPRINT AUTHOR), ARID AGR UNIV RAWALPINDI, DEPT ENTOMOL, PIR MEHR ALI SHAH, MURREE RD, RAWALPINDI, PAKISTAN",ISI,none,ARID AGR UNIV RAWALPINDI;BAHAUDDIN ZAKARIYA UNIV,ARID AGR UNIV RAWALPINDI,NA,"IMRAN M, 2015, PAK J ZOOL","IMRAN M, 2015, PAK J ZOOL",NA,NA,NA,NA,John M
LIPPOK B;RENNER SS,LIPPOK B,POLLINATION OF NUPHAR (NYMPHAEACEAE) IN EUROPE: FLIES AND BEES RATHER THAN DONACIA BEETLES,PLANT SYSTEMATICS AND EVOLUTION,PLANT SYST. EVOL.,"NUPHAR (NYMPHAEACEAE) COMPRISES A SMALL HOLARCTIC GROUP OF AQUATIC PERENNIALS WHOSE FLOWERS ARE POLLINATED BY FLIES, BEES, AND BEETLES. WE STUDIED POLLINATION IN DIFFERENT POPULATIONS OF THE TWO EUROPEAN SPECIES N. LUTEA AND N. PUMILA IN NORWAY AND IN GERMANY. FLOWERS ARE SELF-COMPATIBLE AND PROTOGYNOUS, PREVENTING AUTOMATIC SELFING, AND INSECT POLLINATION IS REQUIRED FOR SEED PRODUCTION. SYMPATRIC POPULATIONS WERE STUDIED IN VEST-AGDER COUNTY IN NORWAY TO DETERMINE WHETHER N. LUTEA AND N. PUMILA HAVE THE SAME OR DIFFERENT POLLINATORS. ALLOPATRIC POPULATIONS OF N. LUTEA IN GERMANY AND NORWAY WERE THEN COMPARED TO DETERMINE WHETHER THEIR POLLINATOR SPECTRA DIFFER AS WOULD BE EXPECTED IN AN OPEN FLOWER WITH SEEMINGLY EASILY ACCESSIBLE POLLEN AND NECTAR. RESULTS OF THE PRESENT AS WELL AS PREVIOUS STUDIES OF THE POLLINATION OF N. LUTEA AND N. PUMILA SHOW THAT BOTH SPECIES ARE MAINLY POLLINATED BY FLIES, INCLUDING APPARENT NUPHAR SPECIALISTS, SUCH AS THE SCATOPHAGID HYDROMYZA LIVENS AND THE EPHYDRIDS HYDRELLIA AND NOTIPHILA, THE LAST ALSO A LONG-KNOWN POLLINATOR OF N. ADVENA IN FLORIDA. POLLINATOR OVERLAP BETWEEN SYMPATRIC HETEROSPECIFIC POPULATIONS WAS SMALL, WHILE ALLOPATRIC CONSPECIFIC POPULATIONS HAD SIMILAR VISITOR AND POLLINATOR SPECTRA. WE FOUND NO EVIDENCE OF POLLINATION BY DONACIA BEETLES AS REPORTED FROM SOME NORTH AMERICAN POPULATIONS OF NUPHAR.",NYMPHAEACEAE; NUPHAR LUTEA; N-PUMILA; DONACIA; HYDRELLIA; NOTOPHILA; SCATOPHAGIDAE; EPHYDRIDAE; POLLINATION; SYMPATRY; ALLOPATRY; SELF-COMPATIBILITY,FLORAL BIOLOGY,ENGLISH,ARTICLE,ARTICLE,20,"LIPPOK, B (REPRINT AUTHOR), UNIV MISSOURI,DEPT BIOL,8001 NAT BRIDGE RD,ST LOUIS,MO 63121, USA.",10.1007/BF00984392,"SACHSENPLATZ 4-6, PO BOX 89, A-1201 VIENNA, AUSTRIA",NA,NA,NA,0378-2697,34,273-283,SPRINGER-VERLAG WIEN,207,1997,ISIA1997YL09800007,26,"PLANT SCIENCES, EVOLUTIONARY BIOLOGY",9,"PLANT SCIENCES, EVOLUTIONARY BIOLOGY",NA,YL098,"LIPPOK, B (REPRINT AUTHOR), UNIV MISSOURI,DEPT BIOL,8001 NAT BRIDGE RD,ST LOUIS,MO 63121, USA",ISI,none,NA,UNIV MISSOURI,NA,"LIPPOK B, 1997, PLANT SYST EVOL","LIPPOK B, 1997, PLANT SYST EVOL",NA,NA,NA,NA,Someone else
HANNAH L;DYER AG;GARCIA JE;DORIN A;BURD M,HANNAH L,PSYCHOPHYSICS OF THE HOVERFLY: CATEGORICAL OR CONTINUOUS COLOR DISCRIMINATION?,CURRENT ZOOLOGY,CURR. ZOOL.,"THERE IS INCREASING INTEREST IN FLIES AS POTENTIALLY IMPORTANT POLLINATORS. FLIES ARE KNOWN TO HAVE A COMPLEX VISUAL SYSTEM, INCLUDING 4 SPECTRAL CLASSES OF PHOTORECEPTORS THAT CONTRIBUTE TO THE PERCEPTION OF COLOR. OUR CURRENT UNDERSTANDING OF HOW COLOR SIGNALS ARE PERCEIVED BY FLIES IS BASED ON DATA FOR THE BLOWFLY LUCILIA SP., WHICH AFTER BEING CONDITIONED TO REWARDED MONOCHROMATIC LIGHT STIMULI, SHOWED EVIDENCE OF A CATEGORICAL COLOR VISUAL SYSTEM. THE RESULTING OPPONENT FLY COLOR SPACE HAS 4 DISTINCT CATEGORIES, AND HAS BEEN USED TO INTERPRET HOW SOME FLY POLLINATORS MAY PERCEIVE FLOWER COLORS. HOWEVER, FORMAL PROOF THAT FLOWER FLIES (SYRPHIDAE) ONLY USE A SIMPLE, CATEGORICAL COLOR PROCESS REMAINS OUTSTANDING. IN FREE-FLYING EXPERIMENTS, WE TESTED THE HOVERFLY ERISTALIS TENAX, A BATESIAN MIMIC OF THE HONEYBEE, THAT RECEIVES ITS NUTRITION BY VISITING FLOWERS. USING A RANGE OF BROADBAND SIMILAR-DISSIMILAR COLOR STIMULI PREVIOUSLY USED TO TEST COLOR PERCEPTION IN POLLINATING HYMENOPTERAN SPECIES, WE EVALUATED IF THERE ARE STEEP CHANGES IN BEHAVIORAL CHOICES WITH CONTINUOUSLY INCREASING COLOR DIFFERENCES AS MIGHT BE EXPECTED BY CATEGORICAL COLOR PROCESSING. OUR DATA REVEALED THAT COLOR CHOICES BY THE HOVERFLY ARE MEDIATED BY A CONTINUOUS MONOTONIC FUNCTION. THUS, THESE FLIES DID NOT USE A CATEGORICAL PROCESSING, BUT SHOWED EVIDENCE OF A COLOR DISCRIMINATION FUNCTION SIMILAR TO THAT OBSERVED IN SEVERAL BEE SPECIES. WE THEREFORE EMPIRICALLY PROVIDE DATA FOR THE MINIMUM COLOR DISTANCE THAT CAN BE DISCRIMINATED BY HOVERFLIES IN FLY COLOR SPACE, ENABLING AN IMPROVED UNDERSTANDING OF PLANT-POLLINATOR INTERACTIONS WITH A NON-MODEL INSECT SPECIES.",CHROMATIC SIGNAL; COLOR MODEL; FLORAL COLOR; FLY POLLINATION; PLANT-POLLINATOR; VISION,BUMBLEBEES BOMBUS-TERRESTRIS; FLY PHOTORECEPTORS; FORAGING SPEED; FLIES DIPTERA; HONEY-BEES; VISION; FLOWERS; POLLINATION; EVOLUTION; BEHAVIOR,ENGLISH,ARTICLE,ARTICLE,2,"DYER, AG (REPRINT AUTHOR), RMIT UNIV, SCH MEDIA \& COMMUN, MELBOURNE, VIC 3001, AUSTRALIA.;DYER, AG (REPRINT AUTHOR), MONASH UNIV, DEPT PHYSIOL, CLAYTON, VIC 3800, AUSTRALIA.;HANNAH, LEA, BURD, MARTIN, MONASH UNIV, SCH BIOL SCI, CLAYTON, VIC 3800, AUSTRALIA.;HANNAH, LEA, WESTERN SYDNEY UNIV, HAWKESBURY INST ENVIRONM, RICHMOND, NSW 2753, AUSTRALIA.;DYER, ADRIAN G., GARCIA, JAIR E., RMIT UNIV, SCH MEDIA \& COMMUN, MELBOURNE, VIC 3001, AUSTRALIA.;DYER, ADRIAN G., MONASH UNIV, DEPT PHYSIOL, CLAYTON, VIC 3800, AUSTRALIA.;DORIN, ALAN, MONASH UNIV, FAC INFORMAT TECHNOL, CLAYTON, VIC 3800, AUSTRALIA.",10.1093/CZ/ZOZ008,"GREAT CLARENDON ST, OXFORD OX2 6DP, ENGLAND",NA,"AUSTRALIAN RESEARCH COUNCILAUSTRALIAN RESEARCH COUNCIL [DP130100015, DP16010016]",A.G.D. AND A.D. ACKNOWLEDGE THE AUSTRALIAN RESEARCH COUNCIL (DP130100015 AND DP16010016). WE WOULD ALSO LIKE TO ACKNOWLEDGE DR. MANI SHRESTHA FOR ASSISTANCE AND EXPERIMENTATION.,1674-5507,4,483-492,OXFORD UNIV PRESS,65,2019,ISI000480380600014,93,ZOOLOGY,8,ZOOLOGY,ADRIAN.DYERRMIT.EDU.AU,IP9OW,"DYER, AG (REPRINT AUTHOR), RMIT UNIV, SCH MEDIA \& COMMUN, MELBOURNE, VIC 3001, AUSTRALIA",ISI,none,MONASH UNIV;WESTERN SYDNEY UNIV;RMIT UNIV;MONASH UNIV;MONASH UNIV,RMIT UNIV,NA,"HANNAH L, 2019, CURR ZOOL","HANNAH L, 2019, CURR ZOOL",NA,NA,NA,NA,Ana M
VIANA BF;KLEINERT AMP,VIANA BF,"STRUCTURE OF BEE-FLOWER SYSTEM IN THE COASTAL SAND DUNE OF ABAETE, NORTHEASTERN BRAZIL",REVISTA BRASILEIRA DE ENTOMOLOGIA,REV. BRAS. ENTOMOL.,"STRUCTURE OF BEE-FLOWER SYSTEM IN THE COASTAL SAND DUNE OF ABAETE, NORTHEASTERN BRAZIL. FOR TWELVE MONTHS (FROM JANUARY TO DECEMBER OF 1996) WE INVESTIGATED BEE-FLOWER INTERACTIONS IN A SEA COASTAL ECOSYSTEM IN BAHIA, BRAZIL. SAMPLES WERE TAKEN THREE TIMES EACH MONTH. 3983 INDIVIDUALS BELONGING TO 49 BEE SPECIES, GROUPED IN 13 MORPH-FUNCTIONAL CATEGORIES, VISITED 66 PLANT SPECIES BELONGING TO 39 BOTANIC FAMILIES. IT WAS OBSERVED 310 INTERACTIONS BETWEEN BEES AND PLANTS AT SPECIES LEVEL. THE USE OF FLORAL RESOURCES BY BEES WAS NOT HOMOGENEOUS, MOST OF THE PLANT SPECIES RECEIVED A LOW NUMBER OF VISITORS. NO RESTRICTED PLANT-BEE SPECIES RELATIONSHIP IN RESOURCE USE CONCERNING THE SUBSET OF ANALYZED INTERACTIONS WAS DETECTED. IN ABAETE THE GENERALIST RELATIONSHIPS PREDOMINATED.",APOIDEA; BAHIA; FLORAL RESOURCES; SANDBANK,POLLEN HARVEST; EUSOCIAL BEES; POLLINATION; MELIPONINAE; STRATEGIES; RESOURCE; APIDAE,ENGLISH,ARTICLE,ARTICLE,21,"VIANA, BF (REPRINT AUTHOR), UNIV FED BAHIA, INST BIOL, DEPT ZOOL, RUA BARAO GEREMOABO S-N,CAMPUS UNIV ONDINA SALVAD, BR-170110 SALVADOR, BA, BRAZIL.;UNIV FED BAHIA, INST BIOL, DEPT ZOOL, BR-170110 SALVADOR, BA, BRAZIL.;UNIV SAO PAULO, INST BIOCIENCIAS, DEPT ECOL, BR-05508900 SAO PAULO, BRAZIL.",10.1590/S0085-56262006000100008,"CAIXA POSTAL 19030, CURITIBA, PR 81531-980, BRAZIL",NA,NA,NA,0085-5626,1,53-63,SOC BRASILEIRA ENTOMOLOGIA,50,2006,ISI000236786100008,43,ENTOMOLOGY,6,ENTOMOLOGY,BLANDEFVUFBA.BR ASTRIDKLUSP.BR,032PG,"VIANA, BF (REPRINT AUTHOR), UNIV FED BAHIA, INST BIOL, DEPT ZOOL, RUA BARAO GEREMOABO S-N,CAMPUS UNIV ONDINA SALVAD, BR-170110 SALVADOR, BA, BRAZIL",ISI,none,UNIV FED BAHIA;UNIV SAO PAULO,UNIV FED BAHIA,NA,"VIANA BF, 2006, REV BRAS ENTOMOL","VIANA BF, 2006, REV BRAS ENTOMOL",NA,NA,NA,NA,Janean S
SOMANATHAN H;BORGES RM;CHAKRAVARTHY VS,SOMANATHAN H,DOES NEIGHBORHOOD FLORAL DISPLAY MATTER? FRUIT SET IN CARPENTER BEE-POLLINATED HETEROPHRAGMA QUADRILOCULARE AND BEETLE-POLLINATED LASIOSIPHON ERIOCEPHALUS,BIOTROPICA,BIOTROPICA,"FRUIT SET IS POLLEN-LIMITED IN THE SELF-INCOMPATIBLE TREE HETEROPHRAGMA QUADRILOCULARE (BIGNONIACEAE), POLLINATED BY LONG-DISTANCE FLYING CARPENTER BEES, AND IN THE SELF-COMPATIBLE SHRUB LASIOSIPHON ERIOCEPHALUS (THYMELEACEAE), POLLINATED BY WEAK-FLYING, SEDENTARY BEETLES. WE STUDIED A SINGLE H. QUADRILOCULARE POPULATION OVER HIGH AND LOW FLOWERING YEARS AND FOUND NO DIFFERENCE IN BEE VISITATION RATES BETWEEN THESE YEARS. FOR H. QUADRILOCULARE, NEIGHBORHOOD FLORAL DISPLAY DID NOT MAKE A SIGNIFICANT CONTRIBUTION TO REPRODUCTIVE SUCCESS. WE INVESTIGATED DENSE AND SPARSE L. ERIOCEPHALUS POPULATIONS IN THE SAME YEAR. IN THE LOW DENSITY L. ERIOCEPHALUS POPULATION, INDIVIDUAL FLORAL DISPLAYS WERE HIGHER THAN IN THE DENSE POPULATION, YET REPRODUCTIVE SUCCESS WAS LOW, INDICATING THAT PLANT ISOLATION WAS A MAJOR FACTOR INFLUENCING FRUIT SET. THIS RESULT WAS DUE TO THE EXTREMELY LOW NUMBER OF BEETLES PER PLANT AND PER FLOWER IN THIS POPULATION. IN THE DENSE L. ERIOCEPHALUS POPULATION, ALTHOUGH THE DISPLAYS OF INDIVIDUAL NEIGHBORS WERE SMALLER AND PLANTS WERE CLOSER, NEIGHBORHOOD FLORAL DISPLAY DID NOT CONTRIBUTE SIGNIFICANTLY TO REPRODUCTIVE SUCCESS, WHEREAS THE EFFECT OF INDIVIDUAL FLORAL DISPLAY WAS AMBIGUOUS. SPECIES WITH SELF-INCOMPATIBLE RATHER THAN SELF-COMPATIBLE BREEDING SYSTEMS ARE EXPECTED TO EXPERIENCE NEIGHBORHOOD EFFECTS ON REPRODUCTIVE SUCCESS, HOWEVER, AT THE SPATIAL SCALE AND FLORAL DISPLAY LEVELS OF PLANTS IN THIS STUDY, ONLY INDIVIDUAL FLORAL DISPLAY AFFECTED FRUIT SET IN H. QUADRILOCULARE, WHEREAS NEITHER INDIVIDUAL NOR NEIGHBORHOOD DISPLAY INFLUENCED FRUIT SET IN L. ERIOCEPHALUS. THEREFORE, POLLINATOR TYPE, POLLINATOR BEHAVIOR, AND PLANT AND POPULATION ISOLATION, RATHER THAN BREEDING SYSTEM ALONE, WILL DETERMINE IF NEIGHBORHOOD FLORAL DISPLAY AFFECTS FRUIT SET.",CANTHAROPHILY; INDIA; NEAREST-NEIGHBOR ANALYSIS; PLANT SPACING; SCALE-BASED CLUSTERING; SEASONAL CLOUD FOREST; WESTERN GHATS,FEMALE REPRODUCTIVE SUCCESS; TROPICAL RAIN-FOREST; SEED-SET; POPULATION-SIZE; CLOUD FOREST; POLLEN LIMITATION; PLANT-DENSITY; GENE FLOW; SHRUB; FRAGMENTATION,ENGLISH,ARTICLE,ARTICLE,20,"BORGES, RM (REPRINT AUTHOR), INDIAN INST SCI, CTR ECOL SCI, BANGALORE 560012, KARNATAKA, INDIA.;INDIAN INST SCI, CTR ECOL SCI, BANGALORE 560012, KARNATAKA, INDIA.;INDIAN INST TECHNOL, DEPT ELECT ENGN, MADRAS 600036, TAMIL NADU, INDIA.",10.1111/J.1744-7429.2004.TB00306.X,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA",NA,NA,NA,0006-3606,2,139-147,WILEY,36,2004,ISI000222092900003,49,ENVIRONMENTAL SCIENCES \& ECOLOGY,4,ECOLOGY,RENEECES.IISC.ERNET.IN,830AB,"BORGES, RM (REPRINT AUTHOR), INDIAN INST SCI, CTR ECOL SCI, BANGALORE 560012, KARNATAKA, INDIA",ISI,none,INDIAN INST SCI;INDIAN INST TECHNOL,INDIAN INST SCI,NA,"SOMANATHAN H, 2004, BIOTROPICA","SOMANATHAN H, 2004, BIOTROPICA",NA,NA,NA,NA,Janean S
ALSPACH PA;PYKE NB;MORGAN CGT;RUTH JE,ALSPACH PA,INFLUENCE OF APPLICATION RATES OF BEE-COLLECTED POLLEN ON THE FRUIT SIZE OF KIWIFRUIT,NEW ZEALAND JOURNAL OF CROP AND HORTICULTURAL SCIENCE,N. Z. J. CROP HORTIC. SCI.,"POLLEN, FROM PELLETS GATHERED BY BEES, WAS USED TO POLLINATE KIWIFRUIT FLOWERS ARTIFICIALLY. POLLEN WAS APPLIED AT A NUMBER OF RATES AFTER SUSPENDING IN AN AQUEOUS MEDIUM OR MIXING WITH ONE OF THREE DIFFERENT DILUENTS TO GET A POWDER FORMULATION. RESULTING FRUIT SIZE WAS LESS AT LOWER RATES OF POLLEN APPLICATION. AT SUCH LOW RATES (GENERALLY < 1.0 MG/FLOWER), A LINEAR RELATIONSHIP WAS DETECTED BETWEEN POLLEN APPLICATION RATE AND FINAL FRUIT SIZE, IN SOME SEASONS. SOME POWDER FORMULATIONS (E.G., THAT USING LYCOPODIUM SPORES) SEEMED LESS EFFECTIVE THAN THE AQUEOUS SUSPENSION. HOWEVER, THE BEST FORMULATION FOR POLLINATION OF KIWIFRUIT WAS MADE WITH AN INERT POWDER. THIS FORMULATION EFFECTIVELY SET FRUIT AT RATES OF POLLEN AS LOW AS 0.037 MG/FLOWER, ALTHOUGH AT THIS RATE FRUIT SIZE WAS REDUCED AS A RESULT OF INADEQUATE SEED SET.",BEE-COLLECTED POLLEN; KIWIFRUIT; ACTINIDIA-DELICIOSA; FRUIT SIZE; POLLINATION,POLLINATION,ENGLISH,ARTICLE,ARTICLE,1,"ALSPACH, PA (REPRINT AUTHOR), DSIR,FRUIT \& TREES,RIWAKA RES STN,RD3,MOTUEKA,NEW ZEALAND.;MAF TECHNOL,RIWAKA RES STN,MOTUEKA,NEW ZEALAND.",NA,"PO BOX 399, WELLINGTON, NEW ZEALAND",NA,NA,NA,0114-0671,1,19-24,SIR PUBLISHING,19,1991,ISIA1991FX34900004,18,AGRICULTURE,4,"AGRONOMY, HORTICULTURE",NA,FX349,"ALSPACH, PA (REPRINT AUTHOR), DSIR,FRUIT \& TREES,RIWAKA RES STN,RD3,MOTUEKA,NEW ZEALAND",ISI,none,MAF TECHNOL,RIWAKA RES STN,NA,"ALSPACH PA, 1991, N Z J CROP HORTIC SCI","ALSPACH PA, 1991, N Z J CROP HORTIC SCI",NA,NA,NA,NA,Janean S
